id,model_name,region,channel,layer,threshold,img_path,size
0,ffhq,background,188,9,0.69,imgs/small_id_0_region_background_t_0.69_layer_9_ch_188_0_seed_1.jpeg,100
2,ffhq,background,484,9,0.69,imgs/small_id_2_region_background_t_0.69_layer_9_ch_484_0_seed_1.jpeg,100
4,ffhq,background,172,9,0.69,imgs/small_id_4_region_background_t_0.69_layer_9_ch_172_0_seed_1.jpeg,100
6,ffhq,background,246,9,0.69,imgs/small_id_6_region_background_t_0.69_layer_9_ch_246_0_seed_1.jpeg,100
8,ffhq,background,481,9,0.69,imgs/small_id_8_region_background_t_0.69_layer_9_ch_481_0_seed_1.jpeg,100
10,ffhq,background,465,9,0.69,imgs/small_id_10_region_background_t_0.69_layer_9_ch_465_0_seed_1.jpeg,100
12,ffhq,background,79,9,0.69,imgs/small_id_12_region_background_t_0.69_layer_9_ch_79_0_seed_1.jpeg,100
14,ffhq,background,8,9,0.69,imgs/small_id_14_region_background_t_0.69_layer_9_ch_8_0_seed_1.jpeg,100
16,ffhq,background,444,9,0.69,imgs/small_id_16_region_background_t_0.69_layer_9_ch_444_0_seed_1.jpeg,100
18,ffhq,background,336,9,0.69,imgs/small_id_18_region_background_t_0.69_layer_9_ch_336_0_seed_1.jpeg,100
20,ffhq,background,317,11,0.75,imgs/small_id_20_region_background_t_0.75_layer_11_ch_317_0_seed_1.jpeg,100
22,ffhq,background,375,11,0.75,imgs/small_id_22_region_background_t_0.75_layer_11_ch_375_0_seed_1.jpeg,100
24,ffhq,background,458,11,0.75,imgs/small_id_24_region_background_t_0.75_layer_11_ch_458_0_seed_1.jpeg,100
26,ffhq,background,153,11,0.75,imgs/small_id_26_region_background_t_0.75_layer_11_ch_153_0_seed_1.jpeg,100
28,ffhq,background,44,11,0.75,imgs/small_id_28_region_background_t_0.75_layer_11_ch_44_0_seed_1.jpeg,100
30,ffhq,background,294,11,0.75,imgs/small_id_30_region_background_t_0.75_layer_11_ch_294_0_seed_1.jpeg,100
32,ffhq,background,100,11,0.75,imgs/small_id_32_region_background_t_0.75_layer_11_ch_100_0_seed_1.jpeg,100
34,ffhq,background,252,11,0.75,imgs/small_id_34_region_background_t_0.75_layer_11_ch_252_0_seed_1.jpeg,100
36,ffhq,background,169,12,0.7,imgs/small_id_36_region_background_t_0.7_layer_12_ch_169_0_seed_1.jpeg,100
38,ffhq,background,222,12,0.7,imgs/small_id_38_region_background_t_0.7_layer_12_ch_222_0_seed_1.jpeg,100
