id,model_name,region,channel,layer,threshold,img_path,size
152,ffhq,eyes,32,9,0.69,imgs/small_id_152_region_eyes_t_0.69_layer_9_ch_32_0_seed_1.jpeg,100
154,ffhq,eyes,315,9,0.69,imgs/small_id_154_region_eyes_t_0.69_layer_9_ch_315_0_seed_1.jpeg,100
156,ffhq,eyes,167,9,0.69,imgs/small_id_156_region_eyes_t_0.69_layer_9_ch_167_0_seed_1.jpeg,100
158,ffhq,eyes,483,9,0.69,imgs/small_id_158_region_eyes_t_0.69_layer_9_ch_483_0_seed_1.jpeg,100
160,ffhq,eyes,110,9,0.69,imgs/small_id_160_region_eyes_t_0.69_layer_9_ch_110_0_seed_1.jpeg,100
162,ffhq,eyes,440,9,0.69,imgs/small_id_162_region_eyes_t_0.69_layer_9_ch_440_0_seed_1.jpeg,100
164,ffhq,eyes,28,8,0.7,imgs/small_id_164_region_eyes_t_0.7_layer_8_ch_28_0_seed_1.jpeg,100
166,ffhq,eyes,6,8,0.7,imgs/small_id_166_region_eyes_t_0.7_layer_8_ch_6_0_seed_1.jpeg,100
168,ffhq,eyes,195,12,0.7,imgs/small_id_168_region_eyes_t_0.7_layer_12_ch_195_0_seed_1.jpeg,100
170,ffhq,eyes,470,12,0.7,imgs/small_id_170_region_eyes_t_0.7_layer_12_ch_470_0_seed_1.jpeg,100
172,ffhq,eyes,254,12,0.7,imgs/small_id_172_region_eyes_t_0.7_layer_12_ch_254_0_seed_1.jpeg,100
174,ffhq,eyes,110,12,0.7,imgs/small_id_174_region_eyes_t_0.7_layer_12_ch_110_0_seed_1.jpeg,100
176,ffhq,eyes,31,11,0.75,imgs/small_id_176_region_eyes_t_0.75_layer_11_ch_31_0_seed_1.jpeg,100
178,ffhq,eyes,321,11,0.75,imgs/small_id_178_region_eyes_t_0.75_layer_11_ch_321_0_seed_1.jpeg,100
180,ffhq,eyes,315,12,0.7,imgs/small_id_180_region_eyes_t_0.7_layer_12_ch_315_0_seed_1.jpeg,100
182,ffhq,eyes,414,12,0.7,imgs/small_id_182_region_eyes_t_0.7_layer_12_ch_414_0_seed_1.jpeg,100
184,ffhq,eyes,320,11,0.75,imgs/small_id_184_region_eyes_t_0.75_layer_11_ch_320_0_seed_1.jpeg,100
186,ffhq,eyes,194,11,0.75,imgs/small_id_186_region_eyes_t_0.75_layer_11_ch_194_0_seed_1.jpeg,100
188,ffhq,eyes,386,11,0.75,imgs/small_id_188_region_eyes_t_0.75_layer_11_ch_386_0_seed_1.jpeg,100
190,ffhq,eyes,199,11,0.75,imgs/small_id_190_region_eyes_t_0.75_layer_11_ch_199_0_seed_1.jpeg,100
192,ffhq,eyes,2,11,0.75,imgs/small_id_192_region_eyes_t_0.75_layer_11_ch_2_0_seed_1.jpeg,100
194,ffhq,eyes,468,11,0.75,imgs/small_id_194_region_eyes_t_0.75_layer_11_ch_468_0_seed_1.jpeg,100
196,ffhq,eyes,41,11,0.75,imgs/small_id_196_region_eyes_t_0.75_layer_11_ch_41_0_seed_1.jpeg,100
198,ffhq,eyes,340,11,0.75,imgs/small_id_198_region_eyes_t_0.75_layer_11_ch_340_0_seed_1.jpeg,100
200,ffhq,eyes,376,9,0.69,imgs/small_id_200_region_eyes_t_0.69_layer_9_ch_376_0_seed_1.jpeg,100
202,ffhq,eyes,30,9,0.69,imgs/small_id_202_region_eyes_t_0.69_layer_9_ch_30_0_seed_1.jpeg,100
204,ffhq,eyes,135,9,0.69,imgs/small_id_204_region_eyes_t_0.69_layer_9_ch_135_0_seed_1.jpeg,100
206,ffhq,eyes,340,9,0.69,imgs/small_id_206_region_eyes_t_0.69_layer_9_ch_340_0_seed_1.jpeg,100
208,ffhq,eyes,257,11,0.75,imgs/small_id_208_region_eyes_t_0.75_layer_11_ch_257_0_seed_1.jpeg,100
210,ffhq,eyes,218,11,0.75,imgs/small_id_210_region_eyes_t_0.75_layer_11_ch_218_0_seed_1.jpeg,100
212,ffhq,eyes,87,11,0.75,imgs/small_id_212_region_eyes_t_0.75_layer_11_ch_87_0_seed_1.jpeg,100
214,ffhq,eyes,233,9,0.69,imgs/small_id_214_region_eyes_t_0.69_layer_9_ch_233_0_seed_1.jpeg,100
216,ffhq,eyes,454,9,0.69,imgs/small_id_216_region_eyes_t_0.69_layer_9_ch_454_0_seed_1.jpeg,100
218,ffhq,eyes,475,11,0.75,imgs/small_id_218_region_eyes_t_0.75_layer_11_ch_475_0_seed_1.jpeg,100
220,ffhq,eyes,366,11,0.75,imgs/small_id_220_region_eyes_t_0.75_layer_11_ch_366_0_seed_1.jpeg,100
222,ffhq,eyes,392,11,0.75,imgs/small_id_222_region_eyes_t_0.75_layer_11_ch_392_0_seed_1.jpeg,100
224,ffhq,eyes,66,12,0.7,imgs/small_id_224_region_eyes_t_0.7_layer_12_ch_66_0_seed_1.jpeg,100
226,ffhq,eyes,316,12,0.7,imgs/small_id_226_region_eyes_t_0.7_layer_12_ch_316_0_seed_1.jpeg,100
228,ffhq,eyes,487,12,0.7,imgs/small_id_228_region_eyes_t_0.7_layer_12_ch_487_0_seed_1.jpeg,100
