id,model_name,region,channel,layer,threshold,img_path,size
230,ffhq,face,291,6,0.6,imgs/small_id_230_region_face_t_0.6_layer_6_ch_291_0_seed_1.jpeg,100
232,ffhq,face,355,6,0.6,imgs/small_id_232_region_face_t_0.6_layer_6_ch_355_0_seed_1.jpeg,100
234,ffhq,face,113,12,0.7,imgs/small_id_234_region_face_t_0.7_layer_12_ch_113_0_seed_1.jpeg,100
236,ffhq,face,491,12,0.7,imgs/small_id_236_region_face_t_0.7_layer_12_ch_491_0_seed_1.jpeg,100
238,ffhq,face,232,12,0.7,imgs/small_id_238_region_face_t_0.7_layer_12_ch_232_0_seed_1.jpeg,100
240,ffhq,face,476,12,0.7,imgs/small_id_240_region_face_t_0.7_layer_12_ch_476_0_seed_1.jpeg,100
242,ffhq,face,295,12,0.7,imgs/small_id_242_region_face_t_0.7_layer_12_ch_295_0_seed_1.jpeg,100
244,ffhq,face,68,12,0.7,imgs/small_id_244_region_face_t_0.7_layer_12_ch_68_0_seed_1.jpeg,100
246,ffhq,face,36,12,0.7,imgs/small_id_246_region_face_t_0.7_layer_12_ch_36_0_seed_1.jpeg,100
248,ffhq,face,482,12,0.7,imgs/small_id_248_region_face_t_0.7_layer_12_ch_482_0_seed_1.jpeg,100
250,ffhq,face,385,12,0.7,imgs/small_id_250_region_face_t_0.7_layer_12_ch_385_0_seed_1.jpeg,100
252,ffhq,face,319,12,0.7,imgs/small_id_252_region_face_t_0.7_layer_12_ch_319_0_seed_1.jpeg,100
254,ffhq,face,250,9,0.69,imgs/small_id_254_region_face_t_0.69_layer_9_ch_250_0_seed_1.jpeg,100
256,ffhq,face,151,9,0.69,imgs/small_id_256_region_face_t_0.69_layer_9_ch_151_0_seed_1.jpeg,100
258,ffhq,face,284,11,0.75,imgs/small_id_258_region_face_t_0.75_layer_11_ch_284_0_seed_1.jpeg,100
260,ffhq,face,300,11,0.75,imgs/small_id_260_region_face_t_0.75_layer_11_ch_300_0_seed_1.jpeg,100
262,ffhq,face,417,8,0.7,imgs/small_id_262_region_face_t_0.7_layer_8_ch_417_0_seed_1.jpeg,100
264,ffhq,face,63,8,0.7,imgs/small_id_264_region_face_t_0.7_layer_8_ch_63_0_seed_1.jpeg,100
266,ffhq,face,251,8,0.7,imgs/small_id_266_region_face_t_0.7_layer_8_ch_251_0_seed_1.jpeg,100
268,ffhq,face,463,8,0.7,imgs/small_id_268_region_face_t_0.7_layer_8_ch_463_0_seed_1.jpeg,100
270,ffhq,face,377,8,0.7,imgs/small_id_270_region_face_t_0.7_layer_8_ch_377_0_seed_1.jpeg,100
272,ffhq,face,179,9,0.69,imgs/small_id_272_region_face_t_0.69_layer_9_ch_179_0_seed_1.jpeg,100
274,ffhq,face,431,9,0.69,imgs/small_id_274_region_face_t_0.69_layer_9_ch_431_0_seed_1.jpeg,100
276,ffhq,face,404,12,0.7,imgs/small_id_276_region_face_t_0.7_layer_12_ch_404_0_seed_1.jpeg,100
278,ffhq,face,360,12,0.7,imgs/small_id_278_region_face_t_0.7_layer_12_ch_360_0_seed_1.jpeg,100
280,ffhq,face,233,12,0.7,imgs/small_id_280_region_face_t_0.7_layer_12_ch_233_0_seed_1.jpeg,100
282,ffhq,face,288,12,0.7,imgs/small_id_282_region_face_t_0.7_layer_12_ch_288_0_seed_1.jpeg,100
