id,model_name,region,channel,layer,threshold,img_path,size
560,ffhq,nose,324,6,0.6,imgs/small_id_560_region_nose_t_0.6_layer_6_ch_324_0_seed_1.jpeg,100
561,ffhq,nose,324,6,0.6,imgs/small_id_561_region_nose_t_0.6_layer_6_ch_324_1_seed_1.jpeg,100
562,ffhq,nose,319,6,0.6,imgs/small_id_562_region_nose_t_0.6_layer_6_ch_319_0_seed_1.jpeg,100
563,ffhq,nose,319,6,0.6,imgs/small_id_563_region_nose_t_0.6_layer_6_ch_319_1_seed_1.jpeg,100
564,ffhq,nose,154,11,0.75,imgs/small_id_564_region_nose_t_0.75_layer_11_ch_154_0_seed_1.jpeg,100
565,ffhq,nose,154,11,0.75,imgs/small_id_565_region_nose_t_0.75_layer_11_ch_154_1_seed_1.jpeg,100
566,ffhq,nose,253,11,0.75,imgs/small_id_566_region_nose_t_0.75_layer_11_ch_253_0_seed_1.jpeg,100
567,ffhq,nose,253,11,0.75,imgs/small_id_567_region_nose_t_0.75_layer_11_ch_253_1_seed_1.jpeg,100
568,ffhq,nose,277,11,0.75,imgs/small_id_568_region_nose_t_0.75_layer_11_ch_277_0_seed_1.jpeg,100
569,ffhq,nose,277,11,0.75,imgs/small_id_569_region_nose_t_0.75_layer_11_ch_277_1_seed_1.jpeg,100
570,ffhq,nose,491,11,0.75,imgs/small_id_570_region_nose_t_0.75_layer_11_ch_491_0_seed_1.jpeg,100
571,ffhq,nose,491,11,0.75,imgs/small_id_571_region_nose_t_0.75_layer_11_ch_491_1_seed_1.jpeg,100
572,ffhq,nose,151,11,0.75,imgs/small_id_572_region_nose_t_0.75_layer_11_ch_151_0_seed_1.jpeg,100
573,ffhq,nose,151,11,0.75,imgs/small_id_573_region_nose_t_0.75_layer_11_ch_151_1_seed_1.jpeg,100
574,ffhq,nose,50,11,0.75,imgs/small_id_574_region_nose_t_0.75_layer_11_ch_50_0_seed_1.jpeg,100
575,ffhq,nose,50,11,0.75,imgs/small_id_575_region_nose_t_0.75_layer_11_ch_50_1_seed_1.jpeg,100
576,ffhq,nose,493,8,0.7,imgs/small_id_576_region_nose_t_0.7_layer_8_ch_493_0_seed_1.jpeg,100
577,ffhq,nose,493,8,0.7,imgs/small_id_577_region_nose_t_0.7_layer_8_ch_493_1_seed_1.jpeg,100
578,ffhq,nose,289,8,0.7,imgs/small_id_578_region_nose_t_0.7_layer_8_ch_289_0_seed_1.jpeg,100
579,ffhq,nose,289,8,0.7,imgs/small_id_579_region_nose_t_0.7_layer_8_ch_289_1_seed_1.jpeg,100
